,Ticker,Expected_Annual_Return,Stock_Volatility,Sharpe_Ratio,Beta,Risk_Free_Return,Enterprise_Value,Forward_P/E,Revenue_Growth
282,STX,2.7574,13.3044,0.1441,2.87,15.3572,6149000000.0,22.379,17.470000000000002
283,STZ,19.6208,19.5572,0.9603,1.2,8.0155,8388000000.0,11.955,14.920000000000002
284,SWK,8.8643,19.6918,0.4075,1.79,10.6092,5102000000.0,17.633999999999997,12.540000000000001
285,SYK,9.6753,14.592,0.6055,0.94,6.8725,24751000000.0,58.24300000000001,29.040000000000003
286,SYMC,0.7852,5.556,-0.0099,0.92,6.7845,12123000000.0,12.204,5.5
287,SYY,3.9001,6.2972,0.486,0.75,6.0372,16048000000.0,9.666833333333333,70.41
288,T,1.9951,5.1606,0.2238,0.24,3.7951,230998000000.0,11.758,6.02
289,TAP,7.3498,14.6906,0.4431,0.84,6.4328,10823000000.0,16.796,1.0999999999999999
290,TEL,6.3286,11.0197,0.4981,1.78,10.5653,15875000000.0,15.228,3.879999999999999
291,TGT,3.3867,12.8958,0.1975,0.58,5.2898,55684000000.0,10.758999999999997,15.61
292,TIF,4.7826,20.8677,0.1889,1.75,10.4334,6980000000.0,11.636000000000001,10.209999999999999
293,TJX,8.1678,10.7781,0.6799,0.53,5.07,27888000000.0,9.07,3.17
294,TMK,7.704,7.9159,0.8671,1.09,7.5319,6298000000.0,8.793000000000001,9.419999999999998
295,TMO,13.3866,20.7783,0.6038,0.93,6.8285,22366000000.0,24.656000000000002,0.6699999999999999
296,TRV,10.3846,14.0853,0.6776,0.83,6.3889,22820000000.0,11.848,13.660000000000002
297,TSN,7.0709,10.3627,0.6013,0.6,5.3777,8033000000.0,6.526999999999999,30.45
298,TSS,4.5509,7.6776,0.4833,1.05,7.356,4228000000.0,11.453,5.83
299,TXN,6.7162,9.9341,0.5915,1.19,7.9715,29494000000.0,9.67,5.539999999999999
300,TXT,4.2219,9.5142,0.3555,1.87,10.9609,16189000000.0,12.960999999999999,43.58
301,UNH,18.3794,18.2046,0.9635,0.57,5.2458,67272000000.0,14.574000000000003,5.8999999999999995
302,UNM,3.431,7.1206,0.3639,1.39,8.8508,8401000000.0,8.458,15.949999999999998
303,UNP,10.1522,17.0918,0.5448,1.08,7.4879,58818000000.0,13.093,8.53
304,UPS,8.0749,14.6002,0.4955,0.91,6.7406,70946000000.0,16.942,22.06
305,USB,4.0746,7.1027,0.4554,0.98,7.0483,112061000000.0,19.609999999999996,8.470000000000002
306,UTX,5.4333,17.4435,0.2633,1.13,7.7077,81457000000.0,14.693000000000001,13.6
307,V,8.0069,11.0717,0.6473,0.79,6.213,54218000000.0,20.273000000000003,14.390000000000004
308,VAR,6.0941,16.3258,0.3218,0.93,6.8285,5418000000.0,5.964,21.369999999999997
309,VFC,5.0064,11.5171,0.3618,0.93,6.8285,19933000000.0,16.170000000000005,16.099999999999998
310,VIAB,0.7323,14.6335,-0.0074,1.14,7.7517,21242000000.0,15.764,52.06999999999999
